date,time,lat,lon,altitude,num satellites
07/10/2023,18:10:05,44.580161,-123.27398,171.7,4
07/10/2023,18:10:32,44.58021,-123.274028,,9
07/10/2023,18:11:03,44.580251,-123.273981,,9
07/10/2023,18:11:33,44.58019,-123.274033,,9
07/10/2023,18:12:03,44.580191,-123.274031,172.0,7
07/10/2023,18:12:33,44.580143,-123.274041,,9
07/10/2023,18:13:03,44.580273,-123.274043,,9
07/10/2023,18:13:32,44.580276,-123.274045,177.0,7
07/10/2023,18:14:02,44.580295,-123.274111,,9
07/10/2023,18:14:32,44.580399,-123.274083,183.9,7
07/10/2023,18:15:03,44.580403,-123.274076,,9
07/10/2023,18:15:33,44.580403,-123.27409,181.4,7
07/10/2023,18:16:03,44.580455,-123.274158,,9
07/10/2023,18:16:33,44.58045,-123.274145,,9
07/10/2023,18:17:02,44.580451,-123.274141,182.6,7
07/10/2023,18:17:32,44.580461,-123.27401,181.5,9
07/10/2023,18:18:02,44.58055,-123.273931,,9
07/10/2023,18:18:32,44.58061,-123.273911,,9
07/10/2023,18:19:03,44.580611,-123.27391,180.4,8
07/10/2023,18:19:33,44.580515,-123.27402,,10
07/10/2023,18:20:03,44.580646,-123.273983,,10
07/10/2023,18:20:33,44.580608,-123.274105,,10
07/10/2023,18:21:02,44.580671,-123.273975,,
07/10/2023,18:21:32,44.580676,-123.273976,161.4,5
07/10/2023,18:22:02,44.58058,-123.273796,,10
07/10/2023,18:22:32,44.580578,-123.273795,172.0,8
07/10/2023,18:23:03,44.58053,-123.273856,,10
07/10/2023,18:23:33,44.580466,-123.273953,,
07/10/2023,18:24:02,44.580466,-123.273953,173.7,9
07/10/2023,18:24:32,44.580634,-123.273896,,11
07/10/2023,18:25:02,44.580676,-123.27395,,11
07/10/2023,18:25:32,44.580671,-123.273953,173.3,9
07/10/2023,18:26:03,44.580718,-123.274095,,11
07/10/2023,18:26:33,44.580715,-123.274091,162.4,10
07/10/2023,18:27:03,44.580721,-123.2741,,11
07/10/2023,18:27:33,44.580705,-123.274088,,11
07/10/2023,18:28:02,44.580653,-123.274056,,11
07/10/2023,18:28:32,44.580646,-123.274051,155.5,7
07/10/2023,18:29:02,44.580633,-123.274055,,11
07/10/2023,18:29:32,44.580545,-123.274133,,11
07/10/2023,18:30:03,44.58048,-123.274143,,11
07/10/2023,18:30:33,44.580476,-123.274145,157.5,9
07/10/2023,18:31:03,44.58044,-123.27418,,11
07/10/2023,18:31:33,44.580451,-123.274146,,11
07/10/2023,18:32:02,44.580468,-123.274163,,11
07/10/2023,18:32:32,44.580466,-123.274161,159.0,11
07/10/2023,18:33:03,44.580461,-123.274153,,11
07/10/2023,18:33:33,44.580458,-123.27413,,10
07/10/2023,18:34:03,44.580455,-123.27413,161.3,11
07/10/2023,18:34:33,44.580325,-123.274155,165.7,10
07/10/2023,18:35:03,44.58031,-123.27409,,10
07/10/2023,18:35:33,44.58031,-123.274086,166.9,10
07/10/2023,18:36:02,44.580338,-123.273955,,10
07/10/2023,18:36:32,44.580338,-123.273861,,10
07/10/2023,18:37:02,44.580338,-123.273866,168.3,10
07/10/2023,18:37:32,44.580406,-123.273988,170.1,9
