,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,time,temp (c),pressure,humidity,gas
0,0,0,0,0,0,07/11/2023,00:00:02,24.5028515625,1010.9471127669848,46.045732011878926,917
1,1,1,1,1,1,07/11/2023,00:00:32,24.48703125,1010.9474215578796,45.98866551952111,914
2,2,2,2,2,2,07/11/2023,00:01:02,24.4895703125,1010.9785616490252,46.03801030688639,913
3,3,3,3,3,3,07/11/2023,00:01:32,24.488984375,1010.9507015319208,46.06859779147866,912
4,4,4,4,4,4,07/11/2023,00:02:02,24.4774609375,1010.9716631409132,46.06108549653889,910
5,5,5,5,5,5,07/11/2023,00:02:32,24.48703125,1010.9474215578796,46.1051599872525,911
6,6,6,6,6,6,07/11/2023,00:03:02,24.48703125,1010.974297572186,46.03770627754969,907
7,7,7,7,7,7,07/11/2023,00:03:32,24.4966015625,1010.9433361577948,46.06951039895597,907
8,8,8,8,8,8,07/11/2023,00:04:03,24.4907421875,1010.9670915952072,46.00136848152758,907
9,9,9,9,9,9,07/11/2023,00:04:33,24.4692578125,1010.951167998744,46.10302955115869,908
10,10,10,10,10,10,07/11/2023,00:05:02,24.4333203125,1010.910970909249,46.11098882178525,911
11,11,11,11,11,11,07/11/2023,00:05:32,24.399140625,1010.9207511419944,46.125292582157115,913
12,12,12,12,12,12,07/11/2023,00:06:02,24.405390625,1010.9245296876268,46.15057693215114,915
13,13,13,13,13,13,07/11/2023,00:06:32,24.4048046875,1010.9437000554072,46.21186023306891,920
14,14,14,14,14,14,07/11/2023,00:07:02,24.3985546875,1010.8727406040936,46.20497391362578,923
15,15,15,15,15,15,07/11/2023,00:07:32,24.376484375,1010.923007943561,46.22073448069255,932
16,16,16,16,16,16,07/11/2023,00:08:02,24.3598828125,1010.9623022410584,46.25556415329552,941
17,17,17,17,17,17,07/11/2023,00:08:32,24.3587109375,1010.9267456166718,46.26769908900597,945
18,18,18,18,18,18,07/11/2023,00:09:02,24.3770703125,1010.9038384860262,46.27604231677852,947
19,19,19,19,19,19,07/11/2023,00:09:32,24.4036328125,1010.9215775085528,46.24240442775653,946
20,20,20,20,20,20,07/11/2023,00:10:02,24.4137890625,1010.891606961612,46.182258489224935,943
21,21,21,21,21,21,07/11/2023,00:10:32,24.40734375,1010.880782761283,46.20602859848755,946
22,22,22,22,22,22,07/11/2023,00:11:03,24.392890625,1010.9236905104304,46.2227034743879,952
23,23,23,23,23,23,07/11/2023,00:11:33,24.3872265625,1010.9007419107722,46.179072407527315,953
24,24,24,24,24,24,07/11/2023,00:12:02,24.3954296875,1010.8809285672083,46.20459893740838,950
25,25,25,25,25,25,07/11/2023,00:12:32,24.3966015625,1010.8963327191412,46.20473955208547,948
26,26,26,26,26,26,07/11/2023,00:13:02,24.3966015625,1010.8896146724878,46.21701222565427,945
27,27,27,27,27,27,07/11/2023,00:13:32,24.4048046875,1010.9033912158988,46.22413354596911,942
28,28,28,28,28,28,07/11/2023,00:14:02,24.40421875,1010.935997838664,46.18111046299214,936
29,29,29,29,29,29,07/11/2023,00:14:32,24.4079296875,1010.9019212700026,46.199962760914815,931
30,30,30,30,30,30,07/11/2023,00:15:02,24.4161328125,1010.9022612939824,46.12119553426686,925
31,31,31,31,31,31,07/11/2023,00:15:32,24.40421875,1010.8889709223164,46.15043643694112,921
32,32,32,32,32,32,07/11/2023,00:16:02,24.3883984375,1010.869120228614,46.13627222080633,916
33,33,33,33,33,33,07/11/2023,00:16:32,24.364375,1010.855646174463,46.15179447404734,915
34,34,34,34,34,34,07/11/2023,00:17:02,24.355,1010.860054376679,46.16907348021131,916
35,35,35,35,35,35,07/11/2023,00:17:32,24.3598828125,1010.8346665706666,46.23715229193221,920
36,36,36,36,36,36,07/11/2023,00:18:02,24.3606640625,1010.8628492527308,46.274071793303705,924
37,37,37,37,37,37,07/11/2023,00:18:32,24.366328125,1010.8320554311885,46.262475801516146,920
38,38,38,38,38,38,07/11/2023,00:19:03,24.38078125,1010.8563279079024,46.22738681858568,921
39,39,39,39,39,39,07/11/2023,00:19:33,24.382734375,1010.812582772235,46.16626394739957,921
40,40,40,40,40,40,07/11/2023,00:20:02,24.37765625,1010.8174906181308,46.17792469314096,921
41,41,41,41,41,41,07/11/2023,00:20:32,24.3485546875,1010.8290771910064,46.24192967548102,921
