date,time,.00,TotalAcc,RInt
07/20/2023,00:00:03,mm,12.01,0.00
07/20/2023,00:00:04,0.00,0.00,12.01,0.00
07/20/2023,00:01:03,0.00,0.00,12.01,0.00
07/20/2023,00:01:04,0.00,0.00,12.01,0.00
07/20/2023,00:02:03,0.00,12.01,0.00
07/20/2023,00:02:04,0.00,0.00,12.01,0.00
07/20/2023,00:03:03,mm,12.01,0.00
07/20/2023,00:03:03,0.00,0.00,12.01,0.00
07/20/2023,00:04:03,0.00,0.00,12.01,0.00
07/20/2023,00:05:03,0.00,0.00,12.01,0.00
07/20/2023,00:05:03,0.00,0.00,12.01,0.00
07/20/2023,00:05:03,0.00,0.00,12.01,0.00
07/20/2023,00:05:04,0.00,0.00,12.01,0.00
07/20/2023,00:06:03,0.00,0.00,12.01,0.00
07/20/2023,00:07:04,0.00,0.00,12.01,0.00
07/20/2023,00:07:04,0.00,0.00,12.01,0.00
07/20/2023,00:08:03,0.00,0.00,12.01,0.00
07/20/2023,00:08:32,0.00,0.00,12.01,0.00
07/20/2023,00:09:03,0.00,0.00,12.01,0.00
07/20/2023,00:09:04,0.00,0.00,12.01,0.00
07/20/2023,00:10:03,0.00,0.00,12.01,0.00
07/20/2023,00:10:03,0.00,0.00,12.01,0.00
07/20/2023,00:11:03,12.01,0.00
07/20/2023,00:11:04,0.00,0.00,12.01,0.00
07/20/2023,00:12:03,0.00,0.00,12.01,0.00
07/20/2023,00:12:32,0.00,0.00,12.01,0.00
07/20/2023,00:13:04,0.00,0.00,12.01,0.00
07/20/2023,00:13:04,0.00,0.00,12.01,0.00
07/20/2023,00:14:03
07/20/2023,00:14:03,0.00,0.00,12.01,0.00
07/20/2023,00:16:03,0.00,0.00,12.01,0.00
07/20/2023,00:16:03,0.00,0.00,12.01,0.00
07/20/2023,00:16:03,0.00,0.00,12.01,0.00
07/20/2023,00:17:04,0.00,0.00,12.01,0.00
07/20/2023,00:17:04,0.00,0.00,12.01,0.00
07/20/2023,00:18:03,0.00,0.00,12.01,0.00
07/20/2023,00:18:04,0.00,0.00,12.01,0.00
07/20/2023,00:19:03,0.00,0.00,12.01,0.00
07/20/2023,00:19:32,0.00,0.00,12.01,0.00
07/20/2023,00:20:04,0.00,0.00,12.01,0.00
07/20/2023,00:21:03,0.00,0.00,12.01,0.00
07/20/2023,00:21:03,0.00,0.00,12.01,0.00
07/20/2023,00:22:03,0.00,0.00,12.01,0.00
07/20/2023,00:22:03,0.00,0.00,12.01,0.00
07/20/2023,00:22:03,0.00,0.00,12.01,0.00
07/20/2023,00:24:03,0.00,0.00,12.01,0.00
07/20/2023,00:24:03,0.00,0.00,12.01,0.00
07/20/2023,00:24:04,0.00,0.00,12.01,0.00
07/20/2023,00:25:04,0.00,0.00,12.01,0.00
07/20/2023,00:25:04,0.00,0.00,12.01,0.00
07/20/2023,00:26:04,0.00,0.00,12.01,0.00
07/20/2023,00:26:04,0.00,0.00,12.01,0.00
07/20/2023,00:27:03,0.00,0.00,12.01,0.00
07/20/2023,00:27:03,0.00,0.00,12.01,0.00
07/20/2023,00:27:04,0.00,0.00,12.01,0.00
07/20/2023,00:28:04,0.00,0.00,12.01,0.00
07/20/2023,00:28:04,0.00,0.00,12.01,0.00
07/20/2023,00:29:04,0.00,0.00,12.01,0.00
07/20/2023,00:29:04,0.00,0.00,12.01,0.00
07/20/2023,00:30:03,0.00,0.00,12.01,0.00
07/20/2023,00:30:03,0.00,0.00,12.01,0.00
07/20/2023,00:31:03,0.00,0.00,12.01,0.00
07/20/2023,00:31:04,0.00,0.00,12.01,0.00
07/20/2023,00:31:04,0.00,0.00,12.01,0.00
07/20/2023,00:32:03,0.00,0.00,12.01,0.00
07/20/2023,00:32:04,0.00,0.00,12.01,0.00
07/20/2023,00:32:04,0.00,0.00,12.01,0.00
07/20/2023,00:34:33,0.00,0.00,12.01,0.00
07/20/2023,00:40:03,0.00,0.00,12.01,0.00
07/20/2023,00:42:33,0.00,0.00,12.01,0.00
07/20/2023,00:43:03,0.00,0.00,12.01,0.00
07/20/2023,00:43:04,0.00,0.00,12.01,0.00
