date,time,Acc,EventAcc,TotalAcc,RInt
07/25/2023,00:00:03,0.00,0.00,12.14,0.00
07/25/2023,00:00:03,0.00,0.00,12.14,0.00
07/25/2023,00:00:03,0.00,0.00,12.14,0.00
07/25/2023,00:00:04,0.00,0.00,12.14,0.00
07/25/2023,00:00:32,0.00,0.00,12.14,0.00
07/25/2023,00:01:03,0.00,0.00,12.14,0.00
07/25/2023,00:10:03,.00mm,0.00,12.14,0.00
07/25/2023,00:10:04,0.00,0.00,12.14,0.00
07/25/2023,00:10:04,0.00,0.00,12.14,0.00
07/25/2023,00:10:33,0.00,0.00,12.14,0.00
07/25/2023,00:11:03,0.00,0.00,12.14,0.00
07/25/2023,00:12:03,0.00,0.00,12.14,0.00
07/25/2023,09:55:19,0.00,0.00,12.14,0.00
07/25/2023,09:55:19,0.00,0.00,12.14,0.00
07/25/2023,09:55:20,0.00,0.00,12.14,0.00
07/25/2023,09:55:47,0.00,0.00,12.14,0.00
07/25/2023,09:56:04,0.00,0.00,12.14,0.00
07/25/2023,09:56:04,0.00,0.00,12.14,0.00
07/25/2023,09:56:33,0.00,0.00,12.14,0.00
07/25/2023,09:57:03,0.00,0.00,12.14,0.00
07/25/2023,10:02:04,0.00,0.00,12.14,0.00
07/25/2023,10:02:04,0.00,0.00,12.14,0.00
07/25/2023,10:02:33,0.00,0.00,12.14,0.00
07/25/2023,10:06:03,0.00,0.00,12.14,0.00
07/25/2023,10:06:04,0.00,0.00,12.14,0.00
07/25/2023,10:06:32,0.00,0.00,12.14,0.00
07/25/2023,10:07:03,0.00,0.00,12.14,0.00
07/25/2023,10:07:03,0.00,0.00,12.14,0.00
07/25/2023,10:07:32,0.00,0.00,12.14,0.00
07/25/2023,10:08:03
07/25/2023,10:08:32,0.00,0.00,12.14,0.00
07/25/2023,10:09:03,0.00,0.00,12.14,0.00
07/25/2023,10:09:04,0.00,0.00,12.14,0.00
07/25/2023,10:09:33,0.00,0.00,12.14,0.00
07/25/2023,10:10:03,0.00,0.00,12.14,0.00
07/25/2023,10:12:04,0.00,0.00,12.14,0.00
07/25/2023,10:12:04,0.00,0.00,12.14,0.00
07/25/2023,10:12:33,0.00,0.00,12.14,0.00
07/25/2023,10:12:33,0.00,0.00,12.14,0.00
07/25/2023,10:13:03,0.00,0.00,12.14,0.00
07/25/2023,10:13:04
07/25/2023,10:13:04,0.00,0.00,12.14,0.00
07/25/2023,10:13:04,0.00,0.00,12.14,0.00
07/25/2023,10:13:33,0.00,0.00,12.14,0.00
07/25/2023,10:14:03,0.00,0.00,12.14,0.00
07/25/2023,10:15:03,0.00,0.00,12.14,0.00
07/25/2023,10:15:03,0.00,0.00,12.14,0.00
07/25/2023,10:15:04,0.00,0.00,12.14,0.00
07/25/2023,10:15:04,0.00,0.00,12.14,0.00
07/25/2023,10:15:32,0.00,0.00,12.14,0.00
07/25/2023,10:15:32,0.00,0.00,12.14,0.00
07/25/2023,10:16:03,0.00,0.00,12.14,0.00
07/25/2023,10:16:03,0.00,0.00,12.14,0.00
07/25/2023,10:16:32,0.00,0.00,12.14,0.00
